Common Word,Total Frequency,Websites
Linz,89,"http://hoerstadt.at/uber-uns/ (62), https://kunstraum.at/en/how-we-are/ (12), https://kunstraum.at/wer-wir-sind/ (9), https://qujochoe.org/about/ (2), https://www.grgr.at/aboutme/ (4)"
Art,28,"https://jmyyri.com/recliners (6), https://kunstraum.at/wer-wir-sind/ (15), https://röda.at/der-verein/ (3), https://www.grgr.at/aboutme/ (4)"
ArtRoom,28,"https://kunstraum.at/en/how-we-are/ (15), https://kunstraum.at/wer-wir-sind/ (13)"
Goethestrasse,25,"https://kunstraum.at/en/how-we-are/ (14), https://kunstraum.at/wer-wir-sind/ (11)"
xtd,18,"https://kunstraum.at/en/how-we-are/ (10), https://kunstraum.at/wer-wir-sind/ (8)"
installation,16,"http://www.grgr.at/ (6), https://www.grgr.at/aboutme/ (10)"
work,10,"https://kunstraum.at/en/how-we-are/ (8), https://www.anna-kraher.de/#about (2)"
light,11,"http://www.grgr.at/ (6), https://www.grgr.at/aboutme/ (5)"
